experiment_id,campaign_type,kpi,kpi_type,n_control,n_treatment,control_mean,treatment_mean,t_stat,p_value,cohens_d,relative_lift_pct,significant_raw,z_stat,p_value_bh,significant_bh,effect_size_label
EXP_0016,display_ad,conversion_rate,rate,9382,18818,0.194724,0.183917,,0.02847,-0.3767,-5.55,True,-2.1907,0.046168,True,small
EXP_0017,sms,retention_rate,rate,1188,18027,0.211348,0.233273,,0.082869,0.5394,10.37,False,1.7343,0.118384,False,medium
EXP_0018,display_ad,retention_rate,rate,19527,5374,0.208242,0.260805,,0.0,1.749,25.24,True,8.2428,0.0,True,large
EXP_0019,display_ad,conversion_rate,rate,18205,5863,0.094833,0.087126,,0.077138,-0.1581,-8.13,False,-1.7675,0.112885,False,negligible
EXP_0020,direct_mail,retention_rate,rate,5244,17975,0.146973,0.140669,,0.249973,-0.3718,-4.29,False,-1.1504,0.29183,False,small
EXP_0021,sms,click_rate,rate,1100,18799,0.085032,0.151173,,0.0,1.4881,77.78,True,6.0125,0.0,True,large
EXP_0022,sms,click_rate,rate,19962,15770,0.198588,0.203598,,0.240449,0.2852,2.52,False,1.1739,0.288539,False,small
EXP_0023,direct_mail,open_rate,rate,6634,10620,0.215553,0.220994,,0.400445,0.1388,2.52,False,0.8408,0.453334,False,negligible
EXP_0024,push_notification,open_rate,rate,11778,18623,0.145666,0.197859,,0.0,1.3338,35.83,True,11.5992,0.0,True,large
EXP_0025,push_notification,conversion_rate,rate,3815,13045,0.117277,0.150208,,0.0,0.7589,28.08,True,5.1144,0.0,True,medium
EXP_0026,display_ad,revenue_per_user,continuous,17092,1338,64.234559,64.414882,0.3269,0.743753,0.0093,0.28,False,,0.796878,False,negligible
EXP_0027,display_ad,revenue_per_user,continuous,6507,8838,49.941519,68.440013,70.0409,0.0,1.1441,37.04,True,,0.0,True,large
EXP_0028,direct_mail,revenue_per_user,continuous,16976,16514,53.868184,49.451541,-27.1662,0.0,-0.2969,-8.2,True,,0.0,True,small
EXP_0029,direct_mail,retention_rate,rate,12372,4145,0.093702,0.111504,,0.000857,1.119,19.0,True,3.3338,0.001512,True,large
EXP_0030,push_notification,revenue_per_user,continuous,16258,8478,71.742997,78.94201,25.3633,0.0,0.3398,10.03,True,,0.0,True,small
EXP_0031,display_ad,conversion_rate,rate,19027,8908,0.15096,0.220658,,0.0,2.4587,46.17,True,14.347,0.0,True,large
EXP_0032,direct_mail,retention_rate,rate,16213,18150,0.293245,0.291132,,0.667202,-0.0695,-0.72,False,-0.43,0.727857,False,negligible
EXP_0033,sms,conversion_rate,rate,19372,17293,0.167292,0.168487,,0.759886,0.052,0.71,False,0.3056,0.79988,False,negligible
EXP_0034,display_ad,click_rate,rate,7426,7982,0.13772,0.181467,,0.0,0.9252,31.77,True,7.3942,0.0,True,large
EXP_0035,display_ad,click_rate,rate,9749,11173,0.254056,0.24281,,0.060262,-0.3907,-4.43,False,-1.8789,0.090393,False,small
EXP_0036,email,click_rate,rate,12351,14201,0.101343,0.09714,,0.252919,-0.1482,-4.15,False,-1.1433,0.29183,False,negligible
EXP_0037,display_ad,open_rate,rate,19238,19218,0.23448,0.221115,,0.001781,-0.3641,-5.7,True,-3.1245,0.003053,True,small
EXP_0038,email,open_rate,rate,10890,12707,0.196572,0.272599,,0.0,1.8398,38.68,True,13.6809,0.0,True,large
EXP_0039,sms,conversion_rate,rate,3643,18693,0.088815,0.109737,,0.000178,0.5571,23.56,True,3.7477,0.000345,True,medium
EXP_0040,display_ad,retention_rate,rate,16525,15488,0.157732,0.195102,,0.0,0.9559,23.69,True,8.7779,0.0,True,large
EXP_0041,email,revenue_per_user,continuous,4343,11506,40.976114,43.673945,12.3301,0.0,0.2196,6.58,True,,0.0,True,small
EXP_0042,direct_mail,retention_rate,rate,9052,3251,0.221087,0.257165,,2.8e-05,1.1078,16.32,True,4.1889,5.8e-05,True,large
EXP_0043,display_ad,retention_rate,rate,9194,6611,0.187091,0.187936,,0.893188,0.0257,0.45,False,0.1343,0.912602,False,negligible
EXP_0044,email,retention_rate,rate,14005,6394,0.083308,0.089527,,0.140088,0.1614,7.47,False,1.4755,0.186784,False,negligible
EXP_0045,push_notification,open_rate,rate,17232,15758,0.320533,0.377955,,0.0,2.277,17.91,True,10.9371,0.0,True,large
EXP_0046,direct_mail,click_rate,rate,6468,17138,0.292267,0.376127,,0.0,3.3769,28.69,True,12.0234,0.0,True,large
EXP_0047,email,open_rate,rate,14250,10586,0.23063,0.23306,,0.653516,0.0759,1.05,False,0.4489,0.726129,False,negligible
EXP_0048,email,revenue_per_user,continuous,10928,19623,52.438947,50.887439,-8.4588,0.0,-0.101,-2.96,True,,0.0,True,negligible
EXP_0049,push_notification,open_rate,rate,8051,2742,0.348287,0.384215,,0.000698,1.2175,10.32,True,3.3905,0.001269,True,large
EXP_0050,push_notification,click_rate,rate,8948,11982,0.255916,0.248604,,0.227887,-0.2609,-2.86,False,-1.2058,0.279045,False,small
EXP_0051,email,open_rate,rate,19494,3547,0.144742,0.181106,,0.0,1.3746,25.12,True,5.5737,0.0,True,large
EXP_0052,direct_mail,conversion_rate,rate,12429,7023,0.18658,0.209088,,0.00014,0.6487,12.06,True,3.8077,0.00028,True,medium
EXP_0053,push_notification,revenue_per_user,continuous,12716,7008,37.368205,42.208347,29.03,0.0,0.4319,12.95,True,,0.0,True,small
EXP_0054,direct_mail,revenue_per_user,continuous,11608,17841,42.304968,44.967741,16.9087,0.0,0.2016,6.29,True,,0.0,True,small
EXP_0055,sms,conversion_rate,rate,1791,3201,0.299735,0.321027,,0.119825,1.028,7.1,False,1.5555,0.167198,False,large
EXP_0056,direct_mail,open_rate,rate,9296,16716,0.17063,0.154484,,0.000669,-0.7472,-9.46,True,-3.4018,0.001254,True,medium
EXP_0057,email,retention_rate,rate,9541,15669,0.253326,0.316673,,0.0,4.0006,25.01,True,10.7212,0.0,True,large
EXP_0058,push_notification,open_rate,rate,14518,4152,0.337038,0.337863,,0.921014,0.0186,0.24,False,0.0992,0.921014,False,negligible
EXP_0059,direct_mail,click_rate,rate,7243,2520,0.195781,0.176516,,0.034016,-0.6928,-9.84,True,-2.1199,0.053709,False,medium
EXP_0060,display_ad,click_rate,rate,4658,6549,0.201991,0.218068,,0.039941,0.4493,7.96,True,2.0544,0.061448,False,small
